epoch,index,onset_time,accuracy,pre_trial_accuracy,response_time,condition_stimulus,condition_cue,stimulus_shape,stimulus_location,num_checks,motivation,rewarded_time,production,delivered_reward,passed_time,received_reward
1,67,87.136,1.0,post-correct,0.4579999999999984,incongruent,valid,SQUARE,LEFT,1,1,88.962,CHECK-PASS-M3,1,0.3,0.7
1,68,88.364,1.0,post-correct,0.4579999999999984,congruent,valid,SQUARE,RIGHT,1,1,90.211,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,69,89.592,1.0,post-correct,0.4789999999999992,congruent,valid,CIRCLE,LEFT,1,1,91.441,CHECK-PASS-M3,1,0.3,0.7
1,70,90.841,1.0,post-correct,0.46000000000000796,incongruent,valid,CIRCLE,RIGHT,1,1,92.671,CHECK-PASS-M3,1,0.3,0.7
1,71,92.071,1.0,post-correct,0.46000000000000796,incongruent,invalid,CIRCLE,RIGHT,1,1,93.902,CHECK-PASS-M3,1,0.3,0.7
1,72,93.301,1.0,post-correct,0.4609999999999985,congruent,valid,CIRCLE,LEFT,1,1,95.131,CHECK-PASS-M3,1,0.3,0.7
1,73,94.532,1.0,post-correct,0.4590000000000032,incongruent,valid,CIRCLE,RIGHT,1,1,96.379,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,74,95.761,1.0,post-correct,0.47800000000000864,congruent,invalid,SQUARE,RIGHT,1,1,97.627,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,75,97.009,1.0,post-correct,0.47799999999999443,congruent,valid,CIRCLE,LEFT,1,1,98.875,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,76,98.257,1.0,post-correct,0.47799999999999443,incongruent,valid,SQUARE,LEFT,1,1,100.126,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,77,99.505,1.0,post-correct,0.48100000000000875,incongruent,valid,CIRCLE,RIGHT,1,1,101.355,CHECK-PASS-M3,1,0.3,0.7
1,78,100.756,1.0,post-correct,0.4590000000000032,congruent,valid,CIRCLE,LEFT,1,1,102.604,CHECK-PASS-M3,1,0.32,0.6799999999999999
1,79,101.985,1.0,post-correct,0.4789999999999992,incongruent,valid,SQUARE,LEFT,1,1,103.832,CHECK-PASS-M3,1,0.3,0.7
